LOCALIDAD;PARCELA;FECHA;COD_EJEMPLAR;RAMA;ELONGACION;LONG_ELONG
Camarate;CIR1;21/9/2011 0:00:00;10;R3;Elong 1;4.00
Camarate;CIR2;21/9/2011 0:00:00;9;R3;Elong 1;6.00
Camarate;CIR2;21/9/2011 0:00:00;9;R2;Elong 1;2.00
Camarate;CIR2;21/9/2011 0:00:00;9;R1;Elong 1;1.00
Camarate;CIR2;21/9/2011 0:00:00;5;R2;Elong 1;19.00
Camarate;CIR2;21/9/2011 0:00:00;10;R1;Elong 1;6.00
Camarate;CIR2;21/9/2011 0:00:00;5;R3;Elong 1;3.00
Camarate;CIR2;21/9/2011 0:00:00;8;R1;Elong 1;2.00
Camarate;CIR2;21/9/2011 0:00:00;7;R3;Elong 1;5.00
Camarate;CIR2;21/9/2011 0:00:00;7;R2;Elong 1;2.00
Camarate;CIR2;21/9/2011 0:00:00;7;R1;Elong 1;9.00
Camarate;CIR2;21/9/2011 0:00:00;6;R2;Elong 1;20.00
Camarate;CIR1;21/9/2011 0:00:00;10;R1;Elong 1;9.00
Camarate;CIR2;21/9/2011 0:00:00;8;R3;Elong 1;3.00
Camarate;CSR2;21/9/2011 0:00:00;5;R2;Elong 1;4.00
Camarate;CSR2;21/9/2011 0:00:00;10;R3;Elong 1;4.00
Camarate;CSR2;21/9/2011 0:00:00;10;R2;Elong 1;4.00
Camarate;CSR2;21/9/2011 0:00:00;10;R1;Elong 1;5.00
Camarate;CSR2;21/9/2011 0:00:00;9;R3;Elong 1;6.00
Camarate;CSR2;21/9/2011 0:00:00;9;R2;Elong 1;13.00
Camarate;CIR1;21/9/2011 0:00:00;7;R2;Elong 1;9.00
Camarate;CSR2;21/9/2011 0:00:00;8;R3;Elong 1;18.00
Camarate;CSR1;21/9/2011 0:00:00;5;R2;Elong 1;6.00
Camarate;CSR2;21/9/2011 0:00:00;8;R1;Elong 1;8.00
Camarate;CSR2;21/9/2011 0:00:00;7;R2;Elong 1;29.00
Camarate;CSR2;21/9/2011 0:00:00;7;R1;Elong 1;16.00
Camarate;CSR2;21/9/2011 0:00:00;6;R3;Elong 1;5.00
Camarate;CSR2;21/9/2011 0:00:00;6;R2;Elong 1;7.00
Camarate;CIR2;21/9/2011 0:00:00;10;R2;Elong 1;4.00
Camarate;CSR2;21/9/2011 0:00:00;3;R2;Elong 1;13.00
Camarate;CSR2;21/9/2011 0:00:00;7;R3;Elong 3;14.00
Camarate;CSR2;21/9/2011 0:00:00;1;R1;Elong 1;13.00
Camarate;CSR2;21/9/2011 0:00:00;1;R2;Elong 1;13.00
Camarate;CSR2;21/9/2011 0:00:00;1;R3;Elong 1;16.00
Camarate;CSR2;21/9/2011 0:00:00;2;R1;Elong 1;11.00
Camarate;CSR2;21/9/2011 0:00:00;6;R1;Elong 1;9.00
Camarate;CSR2;21/9/2011 0:00:00;3;R1;Elong 1;5.00
Camarate;CSR2;21/9/2011 0:00:00;5;R3;Elong 1;4.00
Camarate;CSR2;21/9/2011 0:00:00;3;R3;Elong 1;3.00
Camarate;CSR2;21/9/2011 0:00:00;4;R1;Elong 1;21.00
Camarate;CSR2;21/9/2011 0:00:00;4;R2;Elong 1;2.00
Camarate;CSR2;21/9/2011 0:00:00;4;R3;Elong 1;10.00
Camarate;CSR2;21/9/2011 0:00:00;5;R1;Elong 1;13.00
Camarate;CSR2;21/9/2011 0:00:00;9;R1;Elong 1;10.00
Camarate;CSR2;21/9/2011 0:00:00;2;R2;Elong 1;25.00
Camarate;CSR2;21/9/2011 0:00:00;8;R2;Elong 1;27.00
Camarate;CIR1;21/9/2011 0:00:00;2;R3;Elong 1;8.00
Camarate;CIR1;21/9/2011 0:00:00;3;R1;Elong 1;5.00
Camarate;CIR1;21/9/2011 0:00:00;3;R2;Elong 1;2.00
Camarate;CIR1;21/9/2011 0:00:00;3;R3;Elong 1;4.00
Camarate;CIR1;21/9/2011 0:00:00;4;R1;Elong 1;4.00
Camarate;CIR1;21/9/2011 0:00:00;2;R2;Elong 1;14.00
Camarate;CIR1;21/9/2011 0:00:00;4;R3;Elong 1;1.00
Camarate;CIR1;21/9/2011 0:00:00;4;R2;Elong 1;1.00
Camarate;CIR1;21/9/2011 0:00:00;5;R2;Elong 1;3.00
Camarate;CIR1;21/9/2011 0:00:00;5;R3;Elong 1;6.00
Camarate;CIR1;21/9/2011 0:00:00;6;R1;Elong 1;5.00
Camarate;CIR1;21/9/2011 0:00:00;6;R2;Elong 1;7.00
Camarate;CIR1;21/9/2011 0:00:00;6;R3;Elong 1;5.00
Camarate;CIR1;21/9/2011 0:00:00;7;R1;Elong 1;3.00
Camarate;CIR2;21/9/2011 0:00:00;10;R3;Elong 1;8.00
Camarate;CIR1;21/9/2011 0:00:00;1;R3;Elong 1;8.00
Camarate;CIR1;21/9/2011 0:00:00;1;R2;Elong 1;26.00
Camarate;CIR1;21/9/2011 0:00:00;1;R1;Elong 1;31.00
Camarate;CIR2;21/9/2011 0:00:00;1;R2;Elong 2;15.00
Camarate;CIR1;21/9/2011 0:00:00;5;R1;Elong 1;7.00
Camarate;CIR1;21/9/2011 0:00:00;2;R1;Elong 1;2.00
Camarate;CIR2;4/9/2012 0:00:00;9;R1;Elong 1;5.00
Camarate;CIR2;4/9/2012 0:00:00;6;R2;Elong 1;6.00
Camarate;CIR2;4/9/2012 0:00:00;6;R3;Elong 1;9.50
Camarate;CIR2;4/9/2012 0:00:00;7;R1;Elong 1;17.00
Camarate;CIR2;4/9/2012 0:00:00;7;R2;Elong 1;2.00
Camarate;CIR2;4/9/2012 0:00:00;7;R3;Elong 1;1.50
Camarate;CIR2;4/9/2012 0:00:00;8;R1;Elong 1;5.50
Camarate;CIR2;4/9/2012 0:00:00;6;R1;Elong 1;12.50
Camarate;CIR2;4/9/2012 0:00:00;8;R3;Elong 1;5.50
Camarate;CIR2;4/9/2012 0:00:00;1;R1;Elong 1;7.00
Camarate;CIR2;4/9/2012 0:00:00;9;R2;Elong 1;4.50
Camarate;CIR2;4/9/2012 0:00:00;9;R3;Elong 1;7.50
Camarate;CIR2;4/9/2012 0:00:00;10;R1;Elong 1;14.50
Camarate;CIR2;4/9/2012 0:00:00;10;R2;Elong 1;4.50
Camarate;CIR2;4/9/2012 0:00:00;8;R2;Elong 1;4.00
Camarate;CIR2;4/9/2012 0:00:00;4;R2;Elong 1;3.00
Camarate;CIR2;4/9/2012 0:00:00;3;R2;Elong 1;19.00
Camarate;CIR2;4/9/2012 0:00:00;10;R3;Elong 1;6.00
Camarate;CIR2;4/9/2012 0:00:00;3;R1;Elong 1;10.00
Camarate;CIR1;4/9/2012 0:00:00;2;R3;Elong 1;8.50
Camarate;CIR2;4/9/2012 0:00:00;2;R3;Elong 1;6.00
Camarate;CIR2;4/9/2012 0:00:00;5;R1;Elong 1;5.50
Camarate;CIR2;4/9/2012 0:00:00;2;R1;Elong 1;7.00
Camarate;CIR2;4/9/2012 0:00:00;5;R3;Elong 1;2.00
Camarate;CIR2;4/9/2012 0:00:00;4;R1;Elong 1;4.50
Camarate;CIR2;4/9/2012 0:00:00;3;R3;Elong 1;4.50
Camarate;CIR2;4/9/2012 0:00:00;1;R3;Elong 1;2.50
Camarate;CIR2;4/9/2012 0:00:00;1;R2;Elong 1;3.00
Camarate;CIR2;4/9/2012 0:00:00;4;R3;Elong 1;6.00
Camarate;CIR2;4/9/2012 0:00:00;5;R2;Elong 1;10.00
Camarate;CIR2;4/9/2012 0:00:00;2;R2;Elong 1;3.50
Camarate;CIR1;4/9/2012 0:00:00;1;R3;Elong 1;3.00
Camarate;CIR1;4/9/2012 0:00:00;6;R3;Elong 1;4.20
Camarate;CIR1;4/9/2012 0:00:00;6;R2;Elong 1;5.00
Camarate;CIR1;4/9/2012 0:00:00;6;R1;Elong 1;6.00
Camarate;CIR1;4/9/2012 0:00:00;5;R3;Elong 1;11.00
Camarate;CIR1;4/9/2012 0:00:00;5;R2;Elong 1;5.00
Camarate;CIR1;4/9/2012 0:00:00;5;R1;Elong 1;12.50
Camarate;CIR1;4/9/2012 0:00:00;4;R3;Elong 1;10.00
Camarate;CIR1;4/9/2012 0:00:00;4;R2;Elong 1;12.50
Camarate;CIR1;4/9/2012 0:00:00;4;R1;Elong 1;13.00
Camarate;CIR1;4/9/2012 0:00:00;3;R3;Elong 1;17.00
Camarate;CIR1;4/9/2012 0:00:00;3;R1;Elong 1;7.00
Camarate;CSR2;4/9/2012 0:00:00;10;R2;Elong 1;11.50
Camarate;CIR1;4/9/2012 0:00:00;3;R2;Elong 1;6.50
Camarate;CIR1;4/9/2012 0:00:00;2;R1;Elong 1;
Camarate;CIR1;4/9/2012 0:00:00;7;R3;Elong 1;8.50
Camarate;CIR1;4/9/2012 0:00:00;1;R2;Elong 1;2.50
Camarate;CIR1;4/9/2012 0:00:00;1;R1;Elong 1;10.00
Camarate;CSR1;4/9/2012 0:00:00;1;R1;Elong 1;4.50
Camarate;CSR2;4/9/2012 0:00:00;3;R3;Elong 1;17.50
Camarate;CSR2;4/9/2012 0:00:00;3;R2;Elong 1;10.00
Camarate;CSR2;4/9/2012 0:00:00;3;R1;Elong 1;10.00
Camarate;CSR2;4/9/2012 0:00:00;2;R3;Elong 1;9.00
Camarate;CSR2;4/9/2012 0:00:00;2;R2;Elong 1;18.00
Camarate;CSR2;4/9/2012 0:00:00;2;R1;Elong 1;11.50
Camarate;CSR2;4/9/2012 0:00:00;1;R3;Elong 1;10.00
Camarate;CSR2;4/9/2012 0:00:00;1;R2;Elong 1;6.00
Camarate;CSR2;4/9/2012 0:00:00;1;R1;Elong 1;11.00
Camarate;CIR1;4/9/2012 0:00:00;2;R2;Elong 1;2.50
Camarate;CSR2;4/9/2012 0:00:00;5;R1;Elong 1;5.50
Camarate;CSR2;4/9/2012 0:00:00;10;R1;Elong 1;
Camarate;CSR2;4/9/2012 0:00:00;9;R2;Elong 1;22.50
Camarate;CSR2;4/9/2012 0:00:00;9;R1;Elong 1;13.00
Camarate;CSR2;4/9/2012 0:00:00;8;R3;Elong 1;3.50
Camarate;CSR2;4/9/2012 0:00:00;8;R2;Elong 1;15.00
Camarate;CSR2;4/9/2012 0:00:00;8;R1;Elong 1;4.20
Camarate;CSR2;4/9/2012 0:00:00;7;R3;Elong 1;9.20
Camarate;CSR2;4/9/2012 0:00:00;7;R2;Elong 1;6.50
Camarate;CSR2;4/9/2012 0:00:00;7;R1;Elong 1;4.20
Camarate;CSR2;4/9/2012 0:00:00;6;R3;Elong 1;2.50
Camarate;CSR2;4/9/2012 0:00:00;6;R2;Elong 1;4.50
Camarate;CSR2;4/9/2012 0:00:00;6;R1;Elong 1;11.00
Camarate;CIR1;4/9/2012 0:00:00;7;R1;Elong 1;3.00
Camarate;CSR2;4/9/2012 0:00:00;5;R2;Elong 1;6.50
Camarate;CIR1;4/9/2012 0:00:00;7;R2;Elong 1;11.50
Camarate;CSR2;4/9/2012 0:00:00;4;R3;Elong 1;7.00
Camarate;CSR2;4/9/2012 0:00:00;4;R2;Elong 1;10.00
Camarate;CSR2;4/9/2012 0:00:00;4;R1;Elong 1;25.50
Camarate;CIR1;4/9/2012 0:00:00;10;R3;Elong 1;5.00
Camarate;CIR1;4/9/2012 0:00:00;10;R2;Elong 1;2.50
Camarate;CIR1;4/9/2012 0:00:00;10;R1;Elong 1;3.50
Camarate;CIR1;4/9/2012 0:00:00;9;R3;Elong 1;12.00
Camarate;CIR1;4/9/2012 0:00:00;9;R2;Elong 1;4.50
Camarate;CIR1;4/9/2012 0:00:00;9;R1;Elong 1;12.50
Camarate;CIR1;4/9/2012 0:00:00;8;R3;Elong 1;5.50
Camarate;CIR1;4/9/2012 0:00:00;8;R2;Elong 1;2.50
Camarate;CIR1;4/9/2012 0:00:00;8;R1;Elong 1;9.00
Camarate;CSR2;4/9/2012 0:00:00;10;R3;Elong 1;4.00
Camarate;CSR2;4/9/2012 0:00:00;5;R3;Elong 1;3.50
Camarate;CSR1;4/9/2012 0:00:00;8;R1;Elong 1;4.50
Camarate;CSR2;4/9/2012 0:00:00;9;R3;Elong 1;9.00
Camarate;CSR1;4/9/2012 0:00:00;10;R3;Elong 1;6.00
Camarate;CSR1;4/9/2012 0:00:00;10;R2;Elong 1;8.00
Camarate;CSR1;4/9/2012 0:00:00;10;R1;Elong 1;11.50
Camarate;CSR1;4/9/2012 0:00:00;9;R3;Elong 1;9.00
Camarate;CSR1;4/9/2012 0:00:00;9;R2;Elong 1;11.00
Camarate;CSR1;4/9/2012 0:00:00;9;R1;Elong 1;3.00
Camarate;CSR1;4/9/2012 0:00:00;8;R2;Elong 1;4.00
Camarate;CSR1;4/9/2012 0:00:00;7;R3;Elong 1;2.00
Camarate;CSR1;4/9/2012 0:00:00;7;R2;Elong 1;4.50
Camarate;CSR1;4/9/2012 0:00:00;7;R1;Elong 1;4.00
Camarate;CSR1;4/9/2012 0:00:00;6;R3;Elong 1;4.50
Camarate;CSR1;4/9/2012 0:00:00;6;R2;Elong 1;9.00
Camarate;CSR1;4/9/2012 0:00:00;6;R1;Elong 1;9.00
Camarate;CSR1;4/9/2012 0:00:00;3;R2;Elong 1;5.00
Camarate;CSR1;4/9/2012 0:00:00;1;R2;Elong 1;15.50
Camarate;CSR1;4/9/2012 0:00:00;8;R3;Elong 1;9.00
Camarate;CSR1;4/9/2012 0:00:00;5;R3;Elong 1;3.50
Camarate;CSR1;4/9/2012 0:00:00;2;R1;Elong 1;15.00
Camarate;CSR1;4/9/2012 0:00:00;2;R2;Elong 1;14.00
Camarate;CSR1;4/9/2012 0:00:00;3;R1;Elong 1;8.00
Camarate;CSR1;4/9/2012 0:00:00;1;R3;Elong 1;18.00
Camarate;CSR1;4/9/2012 0:00:00;3;R3;Elong 1;14.00
Camarate;CSR1;4/9/2012 0:00:00;4;R1;Elong 1;8.50
Camarate;CSR1;4/9/2012 0:00:00;4;R2;Elong 1;5.00
Camarate;CSR1;4/9/2012 0:00:00;4;R3;Elong 1;2.50
Camarate;CSR1;4/9/2012 0:00:00;5;R1;Elong 1;15.50
Camarate;CSR1;4/9/2012 0:00:00;5;R2;Elong 1;4.50
Camarate;CSR1;4/9/2012 0:00:00;2;R3;Elong 1;13.00
Camarate;CIR1;2/8/2013 0:00:00;3;R1;Elong 1;0.50
Camarate;CIR1;2/8/2013 0:00:00;2;R3;Elong 1;4.60
Camarate;CIR1;2/8/2013 0:00:00;4;R2;Elong 1;1.50
Camarate;CIR1;2/8/2013 0:00:00;2;R2;Elong 1;2.40
Camarate;CIR1;2/8/2013 0:00:00;3;R2;Elong 1;4.60
Camarate;CIR1;2/8/2013 0:00:00;3;R3;Elong 1;1.40
Camarate;CIR1;2/8/2013 0:00:00;4;R1;Elong 1;2.50
Camarate;CIR1;2/8/2013 0:00:00;4;R3;Elong 1;1.50
Camarate;CIR1;2/8/2013 0:00:00;5;R1;Elong 1;3.30
Camarate;CIR1;2/8/2013 0:00:00;5;R2;Elong 1;5.50
Camarate;CIR2;2/8/2013 0:00:00;10;R2;Elong 1;2.00
Camarate;CIR2;2/8/2013 0:00:00;10;R2;Elong 1;0.30
Camarate;CIR2;2/8/2013 0:00:00;9;R2;Elong 1;3.70
Camarate;CIR1;2/8/2013 0:00:00;2;R1;Elong 1;6.80
Camarate;CIR1;2/8/2013 0:00:00;6;R1;Elong 1;2.10
Camarate;CIR2;2/8/2013 0:00:00;9;R1;Elong 1;6.30
Camarate;CIR2;2/8/2013 0:00:00;9;R3;Elong 1;4.70
Camarate;CIR1;2/8/2013 0:00:00;8;R2;Elong 1;17.00
Camarate;CIR1;2/8/2013 0:00:00;5;R3;Elong 1;1.10
Camarate;CIR1;2/8/2013 0:00:00;9;R3;Elong 1;4.50
Camarate;CIR1;2/8/2013 0:00:00;6;R2;Elong 1;2.30
Camarate;CIR2;2/8/2013 0:00:00;8;R3;Elong 1;3.30
Camarate;CIR1;2/8/2013 0:00:00;7;R1;Elong 1;2.60
Camarate;CIR1;2/8/2013 0:00:00;7;R2;Elong 1;10.10
Camarate;CIR1;2/8/2013 0:00:00;6;R3;Elong 1;1.70
Camarate;CIR1;2/8/2013 0:00:00;8;R1;Elong 1;5.90
Camarate;CIR1;2/8/2013 0:00:00;1;R3;Elong 1;2.50
Camarate;CIR1;2/8/2013 0:00:00;8;R3;Elong 1;10.60
Camarate;CIR1;2/8/2013 0:00:00;9;R2;Elong 1;1.90
Camarate;CIR1;2/8/2013 0:00:00;10;R1;Elong 1;7.00
Camarate;CIR1;2/8/2013 0:00:00;10;R2;Elong 1;1.60
Camarate;CIR1;2/8/2013 0:00:00;10;R3;Elong 1;5.50
Camarate;CIR1;2/8/2013 0:00:00;1;R1;Elong 1;2.60
Camarate;CIR1;2/8/2013 0:00:00;1;R2;Elong 1;2.30
Camarate;CIR1;2/8/2013 0:00:00;7;R3;Elong 1;1.70
Camarate;CIR2;2/8/2013 0:00:00;3;R1;Elong 1;19.10
Camarate;CIR2;2/8/2013 0:00:00;6;R1;Elong 1;3.20
Camarate;CIR2;2/8/2013 0:00:00;1;R2;Elong 1;2.20
Camarate;CIR2;2/8/2013 0:00:00;1;R1;Elong 1;12.70
Camarate;CIR2;2/8/2013 0:00:00;10;R3;Elong 1;5.60
Camarate;CIR2;2/8/2013 0:00:00;1;R3;Elong 1;3.10
Camarate;CIR2;2/8/2013 0:00:00;2;R1;Elong 1;4.50
Camarate;CIR2;2/8/2013 0:00:00;2;R3;Elong 1;5.00
Camarate;CIR2;2/8/2013 0:00:00;3;R2;Elong 1;11.70
Camarate;CIR2;2/8/2013 0:00:00;3;R3;Elong 1;9.70
Camarate;CIR2;2/8/2013 0:00:00;4;R1;Elong 1;1.40
Camarate;CIR2;2/8/2013 0:00:00;4;R2;Elong 1;3.10
Camarate;CIR2;2/8/2013 0:00:00;7;R1;Elong 1;6.50
Camarate;CIR2;2/8/2013 0:00:00;8;R1;Elong 1;4.70
Camarate;CIR2;2/8/2013 0:00:00;2;R2;Elong 1;2.30
Camarate;CIR2;2/8/2013 0:00:00;7;R2;Elong 1;3.50
Camarate;CIR2;2/8/2013 0:00:00;4;R3;Elong 1;1.30
Camarate;CIR2;2/8/2013 0:00:00;6;R3;Elong 1;8.30
Camarate;CIR2;2/8/2013 0:00:00;6;R2;Elong 1;9.10
Camarate;CIR2;2/8/2013 0:00:00;8;R2;Elong 1;0.80
Camarate;CIR1;2/8/2013 0:00:00;9;R1;Elong 1;5.60
Camarate;CIR2;2/8/2013 0:00:00;5;R3;Elong 1;2.80
Camarate;CIR2;2/8/2013 0:00:00;5;R2;Elong 1;6.60
Camarate;CIR2;2/8/2013 0:00:00;5;R1;Elong 1;2.10
Camarate;CIR2;2/8/2013 0:00:00;7;R3;Elong 1;2.00
Camarate;CSR2;8/8/2013 0:00:00;8;R1;Elong 1;8.80
Camarate;CSR2;8/8/2013 0:00:00;10;R3;Elong 1;2.90
Camarate;CSR2;8/8/2013 0:00:00;10;R2;Elong 1;7.00
Camarate;CSR2;8/8/2013 0:00:00;10;R1;Elong 1;8.30
Camarate;CSR2;8/8/2013 0:00:00;9;R3;Elong 1;3.80
Camarate;CSR2;8/8/2013 0:00:00;9;R1;Elong 1;8.60
Camarate;CSR2;8/8/2013 0:00:00;8;R2;Elong 1;16.80
Camarate;CSR2;8/8/2013 0:00:00;3;R2;Elong 1;4.40
Camarate;CSR2;8/8/2013 0:00:00;7;R3;Elong 1;9.40
Camarate;CSR2;8/8/2013 0:00:00;7;R2;Elong 1;12.10
Camarate;CSR2;8/8/2013 0:00:00;2;R3;Elong 1;5.10
Camarate;CSR2;8/8/2013 0:00:00;4;R2;Elong 1;3.80
Camarate;CSR1;8/8/2013 0:00:00;9;R2;Elong 1;4.50
Camarate;CSR2;8/8/2013 0:00:00;4;R3;Elong 1;12.80
Camarate;CSR2;8/8/2013 0:00:00;5;R1;Elong 1;3.40
Camarate;CSR2;8/8/2013 0:00:00;5;R2;Elong 1;2.80
Camarate;CSR2;8/8/2013 0:00:00;5;R3;Elong 1;9.10
Camarate;CSR2;8/8/2013 0:00:00;6;R1;Elong 1;6.20
Camarate;CSR2;8/8/2013 0:00:00;6;R2;Elong 1;4.80
Camarate;CSR2;8/8/2013 0:00:00;6;R3;Elong 1;2.10
Camarate;CSR2;8/8/2013 0:00:00;7;R1;Elong 1;2.80
Camarate;CSR1;8/8/2013 0:00:00;10;R3;Elong 1;4.60
Camarate;CSR1;8/8/2013 0:00:00;10;R2;Elong 1;1.80
Camarate;CSR1;8/8/2013 0:00:00;1;R1;Elong 1;3.40
Camarate;CSR1;8/8/2013 0:00:00;9;R3;Elong 1;2.60
Camarate;CSR1;8/8/2013 0:00:00;2;R2;Elong 1;3.60
Camarate;CSR2;8/8/2013 0:00:00;4;R1;Elong 1;7.80
Camarate;CSR2;8/8/2013 0:00:00;1;R1;Elong 1;9.40
Camarate;CSR2;8/8/2013 0:00:00;1;R2;Elong 1;2.00
Camarate;CSR2;8/8/2013 0:00:00;1;R3;Elong 1;2.10
Camarate;CSR2;8/8/2013 0:00:00;2;R1;Elong 1;6.10
Camarate;CSR2;8/8/2013 0:00:00;8;R3;Elong 1;8.20
Camarate;CSR2;8/8/2013 0:00:00;3;R1;Elong 1;11.60
Camarate;CSR1;8/8/2013 0:00:00;1;R2;Elong 1;16.80
Camarate;CSR1;8/8/2013 0:00:00;1;R3;Elong 1;12.80
Camarate;CSR1;8/8/2013 0:00:00;2;R1;Elong 1;4.80
Camarate;CSR1;8/8/2013 0:00:00;10;R1;Elong 1;1.70
Camarate;CSR1;8/8/2013 0:00:00;6;R2;Elong 1;2.40
Camarate;CSR1;8/8/2013 0:00:00;8;R3;Elong 1;1.30
Camarate;CSR2;8/8/2013 0:00:00;3;R3;Elong 1;2.80
Camarate;CSR1;8/8/2013 0:00:00;9;R1;Elong 1;4.60
Camarate;CSR2;8/8/2013 0:00:00;2;R2;Elong 2;16.00
Camarate;CSR1;8/8/2013 0:00:00;8;R2;Elong 1;7.80
Camarate;CSR1;8/8/2013 0:00:00;8;R1;Elong 1;1.80
Camarate;CSR1;8/8/2013 0:00:00;7;R3;Elong 1;4.30
Camarate;CSR2;8/8/2013 0:00:00;9;R2;Elong 1;7.10
Camarate;CSR1;8/8/2013 0:00:00;7;R2;Elong 1;4.20
Camarate;CSR1;8/8/2013 0:00:00;6;R3;Elong 1;8.20
Camarate;CSR1;8/8/2013 0:00:00;6;R1;Elong 1;3.80
Camarate;CSR1;8/8/2013 0:00:00;5;R3;Elong 1;3.60
Camarate;CSR1;8/8/2013 0:00:00;5;R2;Elong 1;5.40
Camarate;CSR1;8/8/2013 0:00:00;5;R1;Elong 1;5.60
Camarate;CSR1;8/8/2013 0:00:00;2;R3;Elong 1;3.60
Camarate;CSR1;8/8/2013 0:00:00;4;R1;Elong 1;1.40
Camarate;CSR1;8/8/2013 0:00:00;3;R3;Elong 1;2.70
Camarate;CSR1;8/8/2013 0:00:00;3;R2;Elong 1;4.10
Camarate;CSR1;8/8/2013 0:00:00;7;R1;Elong 1;5.00
Camarate;CSR1;8/8/2013 0:00:00;3;R1;Elong 1;3.00
Camarate;CSR1;8/8/2013 0:00:00;4;R3;Elong 1;2.60
Camarate;CIR1;11/9/2014 0:00:00;6;R3;Elong 3;2.60
Camarate;CIR1;11/9/2014 0:00:00;6;R2;Elong 3;2.20
Camarate;CIR1;11/9/2014 0:00:00;6;R1;Elong 3;1.20
Camarate;CIR1;11/9/2014 0:00:00;3;R2;Elong 2;2.40
Camarate;CIR1;11/9/2014 0:00:00;5;R1;Elong 3;4.20
Camarate;CIR1;11/9/2014 0:00:00;4;R2;Elong 2;3.40
Camarate;CIR1;11/9/2014 0:00:00;4;R3;Elong 3;2.10
Camarate;CIR1;11/9/2014 0:00:00;4;R2;Elong 3;3.60
Camarate;CIR1;11/9/2014 0:00:00;5;R2;Elong 3;4.90
Camarate;CIR1;11/9/2014 0:00:00;3;R3;Elong 2;3.40
Camarate;CIR1;11/9/2014 0:00:00;4;R1;Elong 2;3.60
Camarate;CIR1;11/9/2014 0:00:00;7;R2;Elong 3;2.20
