LOCALIDAD;PARCELA;FECHA;COD_EJEMPLAR;RAMA;ELONGACION;LONG_ELONG
Camarate;CSR1;21/9/2011 0:00:00;6;R3;Elong 1;4.00
Camarate;CIR1;21/9/2011 0:00:00;9;R2;Elong 1;3.00
Camarate;CIR1;21/9/2011 0:00:00;9;R1;Elong 1;0.50
Camarate;CIR1;21/9/2011 0:00:00;8;R3;Elong 1;21.00
Camarate;CIR1;21/9/2011 0:00:00;8;R2;Elong 1;8.00
Camarate;CSR1;21/9/2011 0:00:00;10;R3;Elong 1;16.00
Camarate;CSR1;21/9/2011 0:00:00;10;R2;Elong 1;2.00
Camarate;CSR1;21/9/2011 0:00:00;10;R1;Elong 1;10.00
Camarate;CSR1;21/9/2011 0:00:00;9;R3;Elong 1;9.00
Camarate;CSR1;21/9/2011 0:00:00;9;R2;Elong 1;13.00
Camarate;CSR1;21/9/2011 0:00:00;9;R1;Elong 1;10.00
Camarate;CSR1;21/9/2011 0:00:00;8;R3;Elong 1;4.00
Camarate;CSR1;21/9/2011 0:00:00;8;R1;Elong 1;2.00
Camarate;CIR1;21/9/2011 0:00:00;7;R3;Elong 1;14.00
Camarate;CSR1;21/9/2011 0:00:00;7;R1;Elong 1;4.00
Camarate;CIR1;21/9/2011 0:00:00;10;R2;Elong 1;6.00
Camarate;CSR1;21/9/2011 0:00:00;6;R2;Elong 1;5.00
Camarate;CSR1;21/9/2011 0:00:00;6;R1;Elong 1;14.00
Camarate;CSR1;21/9/2011 0:00:00;5;R3;Elong 1;15.00
Camarate;CSR1;21/9/2011 0:00:00;5;R1;Elong 1;15.00
Camarate;CSR1;21/9/2011 0:00:00;4;R2;Elong 1;4.00
Camarate;CSR1;21/9/2011 0:00:00;4;R1;Elong 1;7.00
Camarate;CSR1;21/9/2011 0:00:00;3;R3;Elong 1;4.00
Camarate;CSR1;21/9/2011 0:00:00;3;R2;Elong 1;5.00
Camarate;CSR1;21/9/2011 0:00:00;2;R3;Elong 1;21.00
Camarate;CSR1;21/9/2011 0:00:00;2;R2;Elong 1;6.00
Camarate;CSR1;21/9/2011 0:00:00;2;R1;Elong 1;18.00
Camarate;CSR1;21/9/2011 0:00:00;1;R3;Elong 1;5.00
Camarate;CIR1;21/9/2011 0:00:00;8;R1;Elong 1;
Camarate;CSR1;21/9/2011 0:00:00;7;R2;Elong 1;9.00
Camarate;CIR2;21/9/2011 0:00:00;6;R1;Elong 1;13.00
Camarate;CIR2;21/9/2011 0:00:00;6;R3;Elong 1;18.00
Camarate;CIR2;21/9/2011 0:00:00;1;R1;Elong 1;6.00
Camarate;CIR2;21/9/2011 0:00:00;1;R3;Elong 1;12.00
Camarate;CIR2;21/9/2011 0:00:00;2;R1;Elong 1;8.00
Camarate;CIR2;21/9/2011 0:00:00;2;R2;Elong 1;2.00
Camarate;CIR2;21/9/2011 0:00:00;2;R3;Elong 1;3.00
Camarate;CIR2;21/9/2011 0:00:00;3;R1;Elong 1;
Camarate;CIR2;21/9/2011 0:00:00;3;R2;Elong 1;5.00
Camarate;CIR2;21/9/2011 0:00:00;3;R3;Elong 1;2.00
Camarate;CIR2;21/9/2011 0:00:00;4;R1;Elong 1;2.00
Camarate;CIR2;21/9/2011 0:00:00;4;R2;Elong 1;4.00
Camarate;CIR2;21/9/2011 0:00:00;4;R3;Elong 1;2.00
Camarate;CIR2;21/9/2011 0:00:00;5;R1;Elong 1;8.00
Camarate;CIR1;21/9/2011 0:00:00;9;R3;Elong 1;13.00
Camarate;CIR2;21/9/2011 0:00:00;8;R2;Elong 1;3.00
Camarate;CSR1;21/9/2011 0:00:00;4;R3;Elong 1;2.00
